requests-500-0-10-10-300.trace 283 10000 16.716315 4.969152
requests-500-1-10-10-300.trace 303 10000 17.267798 5.711141
requests-500-2-10-10-300.trace 324 10000 18.804506 6.502409
requests-500-3-10-10-300.trace 343 10000 20.254822 7.142299
requests-500-4-10-10-300.trace 353 10100 20.145647 7.548233
requests-500-5-10-10-300.trace 378 10100 20.713428 8.308733
requests-500-6-10-10-300.trace 395 10100 23.798329 9.060259
requests-500-7-10-10-300.trace 409 10100 24.627241 9.570562
requests-500-8-10-10-300.trace 425 10000 25.176231 10.041445
requests-500-9-10-10-300.trace 434 10000 26.768760 10.548774
requests-500-10-10-10-300.trace 444 9700 27.047954 11.091316
requests-500-0-10-10-300.trace 289 10000 16.117133 5.128401
requests-500-1-10-10-300.trace 312 10000 16.007919 5.932952
requests-500-2-10-10-300.trace 332 10000 15.811866 6.680631
requests-500-3-10-10-300.trace 359 10000 18.602099 7.636132
requests-500-10-10-10-100.trace 275 9800 16.822872 5.110195
requests-500-10-10-10-300.trace 283 10000 16.716315 4.969152
requests-500-0-10-10-600.trace 288 10300 16.647448 5.164479
req-n5-500-0-10-10-300.trace 68 10100 3.132686 0.916503
requests-500-1-10-10-600.trace 307 10300 17.790542 5.609117
requests-500-1-10-10-600.trace 307 10300 17.790542 5.609117
requests-500-2-10-10-600.trace 332 10300 19.326127 6.472960
requests-500-3-10-10-600.trace 350 10300 20.045382 7.200317
requests-500-4-10-10-600.trace 366 10400 20.587837 7.692373
requests-500-5-10-10-600.trace 385 10400 22.374291 8.313875
requests-500-6-10-10-600.trace 399 10400 22.720060 8.887237
requests-500-0-10-10-600.trace 302 10300 15.274503 5.375394
requests-500-1-10-10-600.trace 327 10300 16.049854 6.006631
requests-500-2-10-10-600.trace 342 10300 16.231487 6.781229
requests-500-3-10-10-600.trace 372 10300 17.782676 7.616555
requests-500-4-10-10-600.trace 382 10300 18.242499 8.116050
requests-500-7-10-10-600.trace 437 10300 21.346454 10.073605
requests-500-10-10-10-300.trace 283 10000 16.716315 4.969152
requests-500-10-10-10-300.trace 283 10000 16.716315 4.969152
requests-500-5-10-10-600.trace 404 10300 20.066578 8.844331
